iter	Accuracy	MultiClass
0	0.2304375	4.301753418
1	0.247625	4.001675293
2	0.264625	3.801291992
3	0.2741875	3.653255859
4	0.28375	3.51933374
5	0.2931875	3.411529785
6	0.2999375	3.312874023
7	0.306875	3.233660156
8	0.3155	3.155234619
9	0.3204375	3.090763672
10	0.3274375	3.024798096
11	0.3330625	2.94211499
12	0.3375	2.890189209
13	0.3425625	2.840994141
14	0.349875	2.790306885
15	0.3545625	2.749595215
16	0.3615	2.707342041
17	0.3684375	2.665284424
18	0.3735	2.625602539
19	0.3779375	2.592752441
20	0.382625	2.557099121
21	0.3874375	2.522214844
22	0.3924375	2.49328833
23	0.39625	2.460886475
24	0.401125	2.430844727
25	0.4054375	2.40000293
26	0.41075	2.373421143
27	0.4139375	2.348674561
28	0.4175625	2.326741211
29	0.4228125	2.296326416
30	0.425875	2.279489258
31	0.4286875	2.258687988
32	0.4330625	2.234620117
33	0.436375	2.217391357
34	0.441625	2.193092529
35	0.4474375	2.154183105
36	0.452	2.132082031
37	0.457	2.111126953
38	0.4631875	2.089517822
39	0.46575	2.069498535
40	0.4709375	2.048309326
41	0.475875	2.029381592
42	0.480375	2.008823364
43	0.484375	1.985958008
44	0.4875	1.967728149
45	0.4891875	1.957990234
46	0.4929375	1.942737183
47	0.4955	1.925176147
48	0.4966875	1.91283374
49	0.5014375	1.894909668
50	0.5055625	1.877968506
51	0.5089375	1.865015503
52	0.5129375	1.849492065
53	0.515	1.836627075
54	0.51775	1.821815063
55	0.521125	1.807702026
56	0.525375	1.793451538
57	0.5289375	1.779441162
58	0.5314375	1.766833496
59	0.5345	1.751841797
60	0.5373125	1.740359497
61	0.5413125	1.726496704
62	0.5458125	1.714215576
63	0.547875	1.705644653
64	0.550875	1.693470459
65	0.5539375	1.680630493
66	0.556625	1.671491089
67	0.559875	1.660621216
68	0.5630625	1.649625244
69	0.5643125	1.63931543
70	0.5676875	1.627457031
71	0.5724375	1.610789429
72	0.573875	1.602394897
73	0.575875	1.592161255
74	0.5780625	1.582453857
75	0.5809375	1.571756348
76	0.5834375	1.562672729
77	0.587125	1.552558105
78	0.5891875	1.544673706
79	0.590125	1.540323364
80	0.5924375	1.528874878
81	0.59475	1.521105225
82	0.5966875	1.512807739
83	0.5984375	1.505965942
84	0.60025	1.499103027
85	0.60175	1.489567749
86	0.602625	1.48427356
87	0.6048125	1.476205933
88	0.6100625	1.462935791
89	0.6126875	1.454925293
90	0.615125	1.445454346
91	0.6165	1.43847168
92	0.6198125	1.431422852
93	0.621875	1.422941772
94	0.62425	1.415230103
95	0.626125	1.407308472
96	0.6288125	1.399195679
97	0.6300625	1.392550049
98	0.63125	1.388134644
99	0.6329375	1.380745605
100	0.6336875	1.376203613
101	0.6353125	1.371106201
102	0.637375	1.364039063
103	0.6394375	1.358344971
104	0.6399375	1.356422852
